ra,dec,err_maj,err_min,err_ang,j_m,j_msig,h_m,h_msig,k_m,k_msig,rd_flg,bl_flg,cc_flg,extd_flg,id_opt,b_m_opt,r_m_opt,dist_opt,phi_opt,nopt_mchs
344.739799,25.591398,0.19,0.18,105,16.464,0.128,15.675,0.128,15.088,0.123,222,111,000,0,112519887918,20.00,17.40,0.28,125,1
344.238563,24.931463,0.13,0.12,90,12.958,0.036,12.528,0.034,12.513,0.033,222,111,000,0,112519870060,15.80,14.00,0.24,12,1
344.178223,28.895193,0.16,0.12,0,14.561,0.041,13.946,0.043,13.615,0.045,222,111,000,0,112519867810,20.00,17.40,0.34,212,1
345.625500,25.124125,0.24,0.21,75,16.737,0.146,15.867,0.177,15.506,0.187,222,111,000,0,,,,,,0
344.400155,29.566807,0.17,0.15,176,15.997,0.087,15.734,0.154,15.386,0.151,222,111,000,0,112519875948,18.80,17.40,0.16,89,1
344.417221,23.852774,0.12,0.12,90,10.553,0.032,10.153,0.033,10.108,0.030,222,111,000,0,112519876553,12.80,11.80,1.27,131,1
344.552423,29.593472,0.13,0.13,90,16.016,0.088,15.349,0.104,15.092,0.125,222,111,000,0,,,,,,0
344.649212,25.106707,0.12,0.12,90,15.301,0.052,14.574,0.053,14.328,0.064,222,111,000,0,112519884645,20.90,18.20,0.39,242,1
344.793919,28.362230,0.31,0.23,48,16.478,0.121,15.744,0.135,15.432,0.253,222,111,000,0,,,,,,0
344.931597,26.494837,0.12,0.12,90,14.732,0.045,14.377,0.053,14.223,0.062,222,111,000,0,112519895027,16.90,15.90,1.04,120,1
344.868981,24.833996,0.12,0.12,90,12.966,0.035,12.627,0.034,12.582,0.031,222,111,000,0,112519892672,15.90,13.80,0.05,277,1
345.009768,28.717274,0.12,0.12,90,12.172,0.035,11.820,0.032,11.784,0.031,222,111,000,0,112519897706,14.60,13.50,0.25,210,1
344.325349,28.436840,0.12,0.12,90,15.467,0.058,14.969,0.078,14.811,0.100,222,111,000,0,112519873216,17.80,16.60,0.24,101,1
344.207291,29.884951,0.12,0.12,90,12.819,0.036,12.171,0.034,12.002,0.033,222,111,000,0,112519868846,16.50,,1.62,346,1
345.378393,25.431944,0.16,0.12,0,15.405,0.055,14.610,0.059,14.315,0.064,222,111,000,0,112519910509,20.80,18.30,0.26,56,1
344.418069,26.927361,0.22,0.20,9,16.575,0.147,15.761,0.151,15.370,9.999,220,110,000,0,112519876574,20.90,18.70,0.55,186,1
344.575293,26.981802,0.22,0.12,0,15.118,0.051,14.798,0.069,14.593,0.079,222,111,000,0,112519882057,17.90,16.30,1.20,124,1
345.403873,29.761749,0.27,0.26,67,16.697,0.145,15.997,0.186,15.748,0.228,222,111,000,0,112519911447,20.70,18.40,0.65,179,1
344.701011,29.799652,0.12,0.12,90,14.021,0.037,13.629,0.038,13.548,0.045,222,111,000,0,112519886493,16.80,15.30,0.33,182,1
344.674998,24.365259,0.12,0.12,90,10.806,0.033,10.203,0.034,10.003,0.029,222,111,000,0,,,,,,0
345.591352,27.444456,0.12,0.12,90,15.225,0.050,14.512,0.060,14.151,0.057,222,111,000,0,,,,,,0
346.922381,29.813643,0.36,0.34,153,16.567,0.137,15.965,0.179,15.832,0.262,222,111,000,0,112519962851,21.20,18.70,0.54,75,1
344.754598,28.561567,0.13,0.13,90,15.836,0.076,15.340,0.106,15.344,0.144,222,111,000,0,112519888463,18.20,16.90,0.27,122,1
